rep,seed,n_sampled,sampled_study_ids,topic_similarity_js,ari,nmi
59,59,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S14;S16;S17;S18;S19;S21;S22;S61;S26;S27;S28;S29;S30;S31;S32;S33;S34;S35;S36;S39;S40;S41;S43;S42;S44;S45;S46;S62;S48;S49;S50;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5291955313218357,0.33400345802493225,0.5379413649814067
60,60,53,S71;S66;S70;S65;S01;S02;S03;S05;S06;S07;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S22;S23;S24;S61;S26;S27;S29;S30;S32;S33;S34;S36;S38;S39;S40;S41;S43;S44;S46;S62;S63;S47;S48;S50;S51;S64;S56;S57;S58;S59;S60,0.47649965829781893,0.11163281920394288,0.379341209278888
61,61,53,S71;S66;S01;S02;S05;S06;S07;S08;S09;S11;S12;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S28;S29;S30;S31;S32;S36;S38;S39;S40;S43;S42;S44;S45;S46;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5067834991508028,0.21052819303321993,0.4597859228695671
62,62,53,S71;S66;S70;S65;S02;S03;S05;S06;S07;S08;S09;S11;S12;S14;S15;S17;S18;S19;S20;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S31;S32;S34;S35;S36;S38;S40;S41;S44;S45;S46;S62;S48;S49;S50;S51;S64;S52;S53;S55;S57;S58;S59;S60,0.5450190854888352,0.23832308237332844,0.4734066519662165
63,63,53,S71;S66;S70;S65;S01;S02;S03;S06;S08;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S24;S25;S27;S28;S29;S30;S31;S32;S34;S35;S36;S38;S40;S43;S42;S44;S45;S46;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S56;S58;S59;S60,0.47961840021919105,0.15435143305225357,0.42623398374723226
64,64,53,S71;S66;S70;S01;S02;S03;S06;S07;S09;S10;S11;S12;S13;S14;S15;S17;S21;S22;S23;S24;S61;S29;S30;S31;S32;S33;S34;S35;S36;S38;S39;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S51;S64;S52;S53;S54;S55;S56;S57;S58;S59;S60,0.5077017509239918,0.192161775392201,0.4142939762202746
65,65,53,S71;S66;S70;S01;S05;S06;S08;S09;S10;S12;S13;S14;S16;S17;S18;S19;S20;S21;S25;S61;S26;S27;S29;S30;S31;S32;S33;S35;S36;S38;S39;S40;S41;S43;S42;S44;S45;S46;S62;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S55;S57;S58;S59,0.49272622636848995,0.13673328609438717,0.4122731998648007
66,66,53,S71;S66;S70;S01;S02;S03;S05;S06;S07;S08;S09;S12;S13;S14;S16;S17;S18;S19;S20;S21;S22;S23;S24;S61;S26;S27;S28;S29;S30;S32;S34;S35;S36;S38;S39;S40;S41;S43;S42;S45;S46;S62;S63;S48;S49;S50;S51;S54;S55;S56;S57;S58;S60,0.5160551142373593,0.24907080511592813,0.48801472468402957
67,67,53,S71;S66;S70;S02;S03;S05;S07;S08;S09;S10;S11;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S22;S23;S24;S25;S61;S26;S27;S28;S29;S30;S33;S34;S35;S36;S39;S40;S41;S43;S42;S44;S62;S47;S48;S49;S64;S53;S54;S56;S57;S58;S59;S60,0.4878156170023052,0.21653429259497858,0.4487574807709782
68,68,53,S71;S70;S65;S01;S02;S03;S05;S08;S09;S10;S12;S13;S14;S15;S16;S17;S18;S19;S20;S21;S23;S24;S25;S61;S27;S29;S30;S31;S32;S33;S34;S35;S38;S39;S41;S43;S44;S45;S46;S63;S47;S48;S49;S50;S51;S64;S52;S53;S54;S56;S57;S59;S60,0.5300134032007326,0.22739665053135258,0.46704438663927367
